siren,sources,origines,methode_jointure,confiance_jointure,denomination,code_postal,commune,site_web,nom_structure_porteuse,naf,tranche_effectifs,categorie_juridique,group_naf,group_cate,denomination__tiers_lieux,code_postal__tiers_lieux,commune__tiers_lieux,site_web__tiers_lieux,nom_usage,denomination__ess_x_naf,denomination__cate_x_naf,denomination__ess_flag_insee,famille_ess,naf_numerique,tags_numerique
306169905,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CARREFOUR INTERPROFESSIONNEL DU MONDE AGRICOLE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
306215179,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,FEDERATION ASSOCI REGIO PENELO,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
306387390,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,OFFICE POUR INFORMAT DOCUMENT APICULTURE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
306988072,sirene,ess_flag_insee,siren_direct,1.0,SOC ETUDE SYSTEMES INFORMATIONS,,,,,62.01Z,11,5710.0,,,,,,,,,,,,True,dev_logiciel
307167965,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CELLULE ECONOM REGION AUVERGNE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
308051135,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS DEP MAIRES ADJOINTS ET CONSEIL GENER,,,,,62.02A,11,9220.0,group_naf_2,group_cate_1,,,,,,,,,association,True,conseil_it
308208461,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ARSOE NORD EST,,,,,63.11Z,03,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
308245828,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE LATINO AMERICAIN,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
308391358,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,ASS SECR OBJE CONSCIENCE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
309032589,sirene,cate_x_naf,siren_direct,1.0,CENTRE INFORMATIQUE HLM DE PICARDIE,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
309265981,tiers_lieux,tiers_lieux,scoring,1.0,Le Kaléidoscope,76140.0,LE PETIT QUEVILLY,http://www.le-kaleidoscope.fr,Les Copeaux Numériques,,,,,,,,,,,,,,,False,
309266633,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CENTRE ECONOMIE GESTION POUR ARTISANS,,,,,62.02A,NN,9260.0,group_naf_2,group_cate_2,,,,,,,,,association,True,conseil_it
309370997,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,CTRE INTERDEP TRAIT INFORM MUTUEL AGRI,,,,,63.11Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,hebergement
309859767,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,GROUPE ETUDE RECHERCHE INFORMAT APPLIQ,,,,,62.01Z,NN,9220.0,group_naf_1,group_cate_1,,,,,,,,,association,True,dev_logiciel
